x,y,z,xn,yn,zn,heading,dist,uv,cum_dist,inner_x,inner_y,outer_x,outer_y
266.9702430546295,-213.19268415865974,-8.443840197999265,267.55966501920466,-227.029243368498,-8.443840217609932,-1.5282231835083795,13.849107878115568,[ 0.04256028 -0.9990939 ],417.41665903596856,276.961182060674,-212.76708131856162,256.97930404858505,-213.61828699875787
267.55966501920466,-227.029243368498,-8.443840217609932,267.58641372584407,-239.39761276124457,-8.221369482750788,-1.5686336597457786,12.368398317031101,[ 0.00216267 -0.99999766],429.7850573529997,277.5596416335699,-227.00761671486526,257.55968840483933,-227.0508700221307
267.58641372584407,-239.39761276124457,-8.221369482750788,266.094779714728,-261.2202155490065,-5.666312475185833,-1.6390428828294359,21.87352199476693,[-0.06819359 -0.99767211],451.6585793477666,277.5631348012076,-240.07954867054755,257.6096926504805,-238.7156768519416
266.094779714728,-261.2202155490065,-5.666312475185833,263.8886380005102,-278.57151619657185,-5.666312617236542,-1.6972633615942836,17.490988977911282,[-0.12613019 -0.9920137 ],469.1495683256779,276.01491668895954,-262.4815174210755,256.1746427404965,-259.9589136769374
263.8886380005102,-278.57151619657185,-5.666312617236542,260.2623725191834,-297.5022240161219,-6.44421548058682,-1.7600583459979553,19.274892992964578,[-0.18813414 -0.98214334],488.42446131864244,273.7100714198603,-280.4528576300368,254.06720458116,-276.6901747631069
260.2623725191834,-297.5022240161219,-6.44421548058682,253.6440000541836,-322.6615901281822,-6.220615889797074,-1.8280266121562494,26.01531389866657,[-0.25440294 -0.96709831],514.439775217309,269.93335562169744,-300.04625346384614,250.59138941666936,-294.95819456839763
253.6440000541836,-322.6615901281822,-6.220615889797074,226.87543066389492,-417.12593907195435,-1.1101263711033482,-1.8469293145085741,98.18385574305715,[-0.27263718 -0.96211692],612.6236309603662,263.2651692605531,-325.38796191178176,244.02283084781416,-319.9352183445825
226.87543066389492,-417.12593907195435,-1.1101263711033482,219.58698938032907,-442.85252761076543,-1.1101259522929752,-1.8468660429350379,26.73908626317049,[-0.2725763  -0.96213417],639.3627172235367,236.49677235283886,-419.8517021035822,217.25408897495095,-414.40017604032647
219.58698938032907,-442.85252761076543,-1.1101259522929752,212.28064062656918,-468.6236003188227,-2.5546956893831805,-1.8470565869621907,26.786767640675546,[-0.27275963 -0.96208221],666.1494848642122,229.20781151674993,-445.58012388209204,209.96616724390822,-440.12493133943883
212.28064062656918,-468.6236003188227,-2.5546956893831805,206.25153248716686,-489.6675611751101,-0.9981195458157401,-1.8498228364758205,21.890601487340735,[-0.27541994 -0.96132401],688.040086351553,221.89388075085589,-471.37779971480046,202.66740050228248,-465.86940092284493
206.25153248716686,-489.6675611751101,-0.9981195458157401,204.563378722677,-495.39569937522316,-0.9981191764189532,-1.8573951458760547,5.971719214108756,[-0.28269142 -0.95921091],694.0118055656617,215.84364155113587,-492.4944753416393,196.65942342319784,-486.8406470085809
204.563378722677,-495.39569937522316,-0.9981191764189532,203.58975714296201,-501.3240526468928,-0.9981187763649757,-1.733574594714753,6.007770925576564,[-0.16206037 -0.98678085],700.0195764912382,214.43118717461243,-497.0163030762898,194.69557027074148,-493.77509567415655
203.58975714296201,-501.3240526468928,-0.9981187763649757,203.15203772305438,-507.1967986489844,2.112739348016845,-1.6451927937048851,5.88903590544723,[-0.07432786 -0.99723386],705.9086123966855,213.56209573349327,-502.06733121903187,193.61741855243073,-500.5807740747538
203.15203772305438,-507.1967986489844,2.112739348016845,203.3663343130001,-512.9805708585661,2.1127396853128175,-1.5337619138621963,5.787740837390103,[ 0.03702595 -0.9993143 ],711.6963532340756,213.14518076812186,-506.8265391712943,193.1588946779869,-507.56705812667445
203.3663343130001,-512.9805708585661,2.1127396853128175,204.35769202594156,-518.7087385103687,2.112740041833092,-1.3994266786227265,5.8133204592698675,[ 0.17053209 -0.98535212],717.5096736933455,213.21985553539972,-511.27524991524774,193.5128130906005,-514.6858918018846
204.35769202594156,-518.7087385103687,2.112740041833092,205.81350490779388,-524.092109450715,2.1127403920827135,-1.3066858510120196,5.57674401674785,[ 0.26105069 -0.96532509],723.0864177100933,214.01094296265165,-516.0982315954373,194.70444108923144,-521.3192454253003
205.81350490779388,-524.092109450715,2.1127403920827135,207.86774616585234,-529.464363897579,2.1127407590117286,-1.205571496595177,5.751610642955519,[ 0.3571593  -0.93404348],728.8380283530488,215.15393975354237,-520.5205164038623,196.4730700620454,-527.6637024975679
207.86774616585234,-529.464363897579,2.1127407590117286,210.52934946486863,-534.7476430733107,2.1127411384088646,-1.1041303617969955,5.91584068159835,[ 0.44991125 -0.89307327],734.7538690346471,216.79847885472557,-524.9652513584342,198.9370134769791,-533.963476436724
